internship_id,title,company,skills,location,category,stipend,duration,education,description
1,Growth Strategy PM Intern,Toppr,"Go, Problem Solving, DSA, Python, MongoDB",Vizag,Internet,96866,8 months,Any Graduate,Customer Success PM Intern: Gain experience working with AI and cutting-edge tech teams.
2,Junior PM Intern,Twitter,"OpenCV, JavaScript, Numerical Methods, Express, DSA, Spring Boot, GCP",Pune,Healthcare,34114,6 months,Integrated MSc,"B2B Product Manager Intern: Immerse in a collaborative, diverse and learning environment."
3,Customer Success PM Intern,Tata,"Bitbucket, SQL, TensorFlow, C, DSA, Version Control",Vizag,E-Commerce,99726,4 months,Any Graduate,AI Research PM Intern: Assist in designing delightful user journeys for education and tech.
4,Hardware Engineer Intern,Zomato,"PCB Design, Electronics, Circuit Analysis, C",Indore,Healthcare,93957,8 months,Post Graduate,"AR/VR Developer Intern: Immerse in a collaborative, diverse and learning environment."
5,Junior PM Intern,Twitter,"SQLite, Ruby, C, Node.js, DSA, PyTorch",Delhi,Consulting,69519,12 weeks,M.Tech,Junior PM Intern: Assist in designing delightful user journeys for education and tech.
6,Growth Product Manager Intern,Meesho,"C++, Scrum, Agile, Numpy, Python, DSA, TensorFlow",Vizag,Data Science,55731,4 months,Bachelor of Science,Marketing Product Manager Intern: Build scalable products and solve complex technical challenges.
7,School Product Manager Intern,Reliance,"School Operations, Outreach, Technology, Communication",Nagpur,EdTech,90195,8 months,PhD,Data Science PM Intern: Present findings to senior stakeholders and PM leadership.
8,Java Developer Intern,Zomato,"Java, Spring Boot, MySQL, REST API, OOP, DSA, Maven, Git",Ahmedabad,Healthcare,61484,3 months,BCA,Research Product Manager Intern: Work on live projects and impact thousands of users.
9,AI Research PM Intern,Johnson Controls,"Go, C, GCP, SQLite, MATLAB, DSA",Vizag,EdTech,29132,12 weeks,Any Postgraduate,School Product Manager Intern: Participate in user research and help define next-gen features.
10,React Developer Intern,Capgemini,"React, JavaScript, Redux, CSS, DSA, Webpack, Git",Vizag,Technology,32684,2 months,Any Graduate,EdTech Content Intern: Assist in designing delightful user journeys for education and tech.
11,Python Developer Intern,Udemy,"Python, Flask, Django, Pandas, Numpy, DSA, Git",Lucknow,Entertainment,54486,6 months,M.Tech,Web Developer Intern: Participate in user research and help define next-gen features.
12,Full Stack Developer Intern,PwC,"JavaScript, Node.js, React, HTML, CSS, Express, MongoDB, SQL, DSA, Git",Ahmedabad,Technology,36171,8 months,Bachelor of Science,"Data Science PM Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
13,Cloud Engineer Intern,Intel,"AWS, Azure, GCP, Kubernetes, Terraform, Python, Git",Chennai,Healthcare,91961,5 months,BCA,Project Coordinator (PM): Work on live projects and impact thousands of users.
14,Sustainability Product Manager Intern,PwC,"Linux, DSA, GraphQL, Git, Docker, JavaScript, Numpy",Hyderabad,EdTech,40131,4 months,Undergraduate,Angular Developer Intern: Work on live projects and impact thousands of users.
15,SEO/SEM Product Manager Intern,PwC,"Python, Algorithms, Leadership, Kanban, Flask, Vue.js, DSA, GitHub",Delhi,Internet,70916,3 months,B. Tech,Android Developer Intern: Work on live projects and impact thousands of users.
16,EdTech Product Manager Intern,Coursera,"Tailwind CSS, Unit Testing, DSA, PyTorch, Python",Noida,Entertainment,38981,8 months,BA,SEO/SEM Product Manager Intern: Assist in designing delightful user journeys for education and tech.
17,Government PM Intern,Bharti Airtel,"Python, Angular, Pandas, Java, Keras, DSA",Jaipur,Technology,49782,8 months,Undergraduate,Communication PM Intern: Assist in designing delightful user journeys for education and tech.
18,Customer Insights PM Intern,Zomato,"DSA, MySQL, PostgreSQL, Kubernetes, JavaScript, Sass, C, Teamwork",Bangalore,SaaS,71303,4 months,Bachelor of Science,"Java Developer Intern: Learn business strategy, user empathy, and agile execution."
19,Curriculum Developer Intern,Coursera,"Syllabus Creation, Standardized Testing, Education policy",Mysore,FinTech,37120,4 months,PhD,AR/VR Developer Intern: Assist in designing delightful user journeys for education and tech.
20,Business Analyst PM Intern,Bharti Airtel,"Scrum, MongoDB, Python, DSA, GitHub",Noida,Entertainment,50165,4 months,Diploma,"Student Engagement Manager Intern: Immerse in a collaborative, diverse and learning environment."
21,React Developer Intern,Intel,"React, JavaScript, Redux, CSS, DSA, Webpack, Git",Indore,Entertainment,31554,8 months,Any Graduate,"Learning Experience Designer Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
22,Growth Product Manager Intern,Microsoft,"C++, API Integration, Angular, Algorithms, HTML, Express, DSA, Java",Chandigarh,Automotive,27762,3 months,Integrated MSc,Web Product Manager Intern: Assist in designing delightful user journeys for education and tech.
23,Research Product Manager Intern,Swiggy,"DSA, Numpy, Express, C, Selenium, DevOps, ASP.NET, Kotlin",Coimbatore,Education,71001,4 months,MBA,Agile Product Manager Intern: Present findings to senior stakeholders and PM leadership.
24,SEO/SEM Product Manager Intern,Reliance,"C, Selenium, Version Control, Sass, MongoDB, React, Bitbucket, DSA",Vizag,Technology,80948,4 months,Post Graduate,Salesforce Developer Intern: Gain experience working with AI and cutting-edge tech teams.
25,E-Commerce PM Intern,KPMG,"Kubernetes, C, Version Control, Teamwork, GCP, Algorithms, DSA",Pune,Consumer Tech,58805,6 months,BA,EdTech Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
